repository_id,repository_name,repository_link,owner_id,owner_name,owner_type,description,stars,fork_count,language,created_at,updated_at,watchers_count,snapshot_date,open_issues_count,archived,fork,topics
1197021090,claw-code,https://github.com/ultraworkers/claw-code,272961631,ultraworkers,Organization,"An agent-managed museum exhibit, built in Rust with Gajae-Code / LazyCodex — developed and maintained with no human intervention.",194141,109918,Rust,2026-03-31T08:58:08Z,2026-06-22T10:57:43Z,194141,2026-06-22,19,False,False,[]
1197515131,awesome-design-md,https://github.com/VoltAgent/awesome-design-md,201282378,VoltAgent,Organization,A collection of DESIGN.md files analysis by popular brand design systems. Drop one into your project and let coding agents generate a matching UI.,92172,10953,Uknown,2026-03-31T16:37:01Z,2026-06-22T10:48:46Z,92172,2026-06-22,290,False,False,"['awesome-list', 'design-md', 'design-system', 'design-tokens', 'figma', 'google-stitch', 'landing-page', 'vibe-coding', 'vibe-design', 'vibecoding']"
1255180606,odysseus,https://github.com/pewdiepie-archdaemon/odysseus,229018391,pewdiepie-archdaemon,User,Self-hosted AI workspace. ,75984,9882,Python,2026-05-31T14:05:51Z,2026-06-22T10:56:55Z,75984,2026-06-22,1432,False,False,[]
1201173969,caveman,https://github.com/JuliusBrussee/caveman,104168679,JuliusBrussee,User,🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman,75656,4276,JavaScript,2026-04-04T10:03:00Z,2026-06-22T10:58:58Z,75656,2026-06-22,303,False,False,"['ai', 'anthropic', 'caveman', 'claude', 'claude-code', 'llm', 'meme', 'prompt-engineering', 'skill', 'tokens']"
1200597263,graphify,https://github.com/safishamsi/graphify,216348667,safishamsi,User,"AI coding assistant skill (Claude Code, Codex, OpenCode, Cursor, Gemini CLI, and more). Turn any folder of code, SQL schemas, R scripts, shell scripts, docs, papers, images, or videos into a queryable knowledge graph. App code + database schema + infrastructure in one graph.",70509,7082,Python,2026-04-03T15:49:07Z,2026-06-22T10:58:04Z,70509,2026-06-22,389,False,False,"['antigravity', 'claude-code', 'codex', 'gemini', 'graphrag', 'knowledge-graph', 'leiden', 'openclaw', 'rag', 'skills', 'tree-sitter']"
1223170290,open-design,https://github.com/nexu-io/open-design,263625318,nexu-io,Organization,"🎨 Local-first, open-source Claude Design alternative. 🖥️ Native desktop app. ⚡ 259+ Skills · ✨ 142+ Design Systems 🖼️ Web · desktop · mobile prototypes · slides · images · videos · HyperFrames 📦 Sandboxed preview · HTML/PDF/PPTX/MP4 export 🤖 Claude Code / OpenClaw / Codex / Cursor / OpenCode / Qwen / Copilot / Hermes / Kimi & 17+ CLIs.",68899,7758,TypeScript,2026-04-28T04:25:20Z,2026-06-22T10:53:32Z,68899,2026-06-22,383,False,False,"['agent-skills', 'ai-agents', 'ai-design', 'byok', 'claude-code-for-design', 'claude-design', 'codex-design', 'coding-agents', 'cursor-design', 'design-systems', 'design-tools', 'desktop-app', 'figma-alternative', 'generative-ai', 'hermes-agent', 'local-first', 'no-code', 'prototyping', 'ui-generator', 'vibe-coding']"
1201656210,mempalace,https://github.com/MemPalace/mempalace,275135684,MemPalace,Organization,The best-benchmarked open-source AI memory system. And it's free.,56139,7269,Python,2026-04-05T01:12:07Z,2026-06-22T10:45:11Z,56139,2026-06-22,586,False,False,"['ai', 'chromadb', 'llm', 'mcp', 'memory', 'python']"
1201476594,career-ops,https://github.com/santifer/career-ops,256850418,santifer,User,"AI-powered job search system built on Claude Code. 14 skill modes, Go dashboard, PDF generation, batch processing.",55138,10913,JavaScript,2026-04-04T18:21:18Z,2026-06-22T10:52:12Z,55138,2026-06-22,177,False,False,"['ai-agent', 'anthropic', 'automation', 'career', 'careerops', 'claude', 'claude-code', 'cli', 'golang', 'interview-prep', 'job-search', 'open-source', 'resume']"
1266797999,ponytail,https://github.com/DietrichGebert/ponytail,137048761,DietrichGebert,User,Makes your AI agent think like the laziest senior dev in the room. The best code is the code you never wrote.,48056,2357,JavaScript,2026-06-12T00:52:37Z,2026-06-22T10:58:45Z,48056,2026-06-22,57,False,False,"['agent-skills', 'ai-agents', 'claude', 'claude-code', 'claude-code-plugin', 'cursor-rules', 'developer-tools', 'llm', 'prompt-engineering', 'yagni']"
1197990888,openclaude,https://github.com/Gitlawb/openclaude,268502891,Gitlawb,Organization,runs anywhere. uses anything,29254,8800,TypeScript,2026-04-01T03:15:49Z,2026-06-22T10:47:13Z,29254,2026-06-22,132,False,False,"['ai', 'ai-agent', 'ai-tools', 'cli', 'coding']"
1201730379,nuwa-skill,https://github.com/alchaincyf/nuwa-skill,127714341,alchaincyf,User,你想蒸馏的下一个员工，何必是同事。蒸馏任何人的思维方式——心智模型、决策启发式、表达DNA。Distill how anyone thinks.,25260,3670,Python,2026-04-05T04:33:04Z,2026-06-22T10:49:09Z,25260,2026-06-22,19,False,False,[]
1216785679,DeepSeek-Reasonix,https://github.com/esengine/DeepSeek-Reasonix,18465053,esengine,User,DeepSeek-native AI coding agent for your terminal. Engineered around prefix-cache stability — leave it running.,23736,1442,Go,2026-04-21T08:27:02Z,2026-06-22T10:58:19Z,23736,2026-06-22,721,False,False,"['agent', 'agent-framework', 'ai-agent', 'ai-coding', 'cli', 'coding-agent', 'deepseek', 'developer-tools', 'ink', 'llm', 'prompt-caching', 'r1', 'terminal', 'tool-use', 'tui', 'typescript']"
1202057891,gbrain,https://github.com/garrytan/gbrain,19957,garrytan,User,Garry's Opinionated OpenClaw/Hermes Agent Brain,23735,3412,TypeScript,2026-04-05T14:40:56Z,2026-06-22T10:49:04Z,23735,2026-06-22,1001,False,False,[]
1219596233,nature-skills,https://github.com/Yuan1z0825/nature-skills,140061814,Yuan1z0825,User,符合nature论文学术表达和科研绘图的Skill,22050,1305,Python,2026-04-24T03:11:46Z,2026-06-22T10:57:27Z,22050,2026-06-22,0,False,False,"['codex-skills', 'nature', 'nature-skills']"
1196321162,codex-plugin-cc,https://github.com/openai/codex-plugin-cc,14957082,openai,Organization,Use Codex from Claude Code to review code or delegate tasks.,21426,1303,JavaScript,2026-03-30T15:29:52Z,2026-06-22T10:57:55Z,21426,2026-06-22,243,False,False,[]
1230751102,CodexPlusPlus,https://github.com/BigPizzaV3/CodexPlusPlus,237402563,BigPizzaV3,User,"An enhanced tool for CodexApp, striving to make Codex better to use and more comfortable 一个CodexApp的增强工具，努力让Codex变得更好用更舒服",20789,1338,Rust,2026-05-06T09:32:49Z,2026-06-22T10:52:25Z,20789,2026-06-22,682,False,False,[]
1197305828,claude-code,https://github.com/claude-code-best/claude-code,272536312,claude-code-best,User,"原汁原昧 Claude Code 可运行,可构建, 可调试版; 生产级工程化, 企业级可靠性; 安全无毒, 内存泄露修复",20235,16240,TypeScript,2026-03-31T13:33:21Z,2026-06-22T10:27:06Z,20235,2026-06-22,14,False,False,[]
1195828337,colleague-skill,https://github.com/titanwings/colleague-skill,85022018,titanwings,User,将冰冷的离别化为温暖的 Skill，欢迎加入数字生命1.0！Transforming cold farewells into warm skills? It's giving rebirth era. Welcome to Digital Life 1.0. 🫶,19672,1947,Python,2026-03-30T05:22:23Z,2026-06-22T09:41:57Z,19672,2026-06-22,31,False,False,[]
1215145625,huashu-design,https://github.com/alchaincyf/huashu-design,127714341,alchaincyf,User,Huashu Design · HTML-native design skill for Claude Code · Claude Code 里 HTML 原生的设计 skill · 高保真原型 / 幻灯片 / 动画 + 20 设计哲学 + 5 维评审 + MP4 导出 · Agent-agnostic,19423,2398,HTML,2026-04-19T14:42:06Z,2026-06-22T10:21:46Z,19423,2026-06-22,15,False,False,[]
1219042200,guizang-ppt-skill,https://github.com/op7418/guizang-ppt-skill,13505770,op7418,User,"AI-agent Skill for generating polished HTML slide decks: editorial magazine and Swiss layouts, image prompts, social covers, and a WebGL/low-power presentation runtime.",18401,1345,HTML,2026-04-23T13:23:07Z,2026-06-22T10:51:08Z,18401,2026-06-22,23,False,False,"['ai-agent', 'claude-code', 'codex', 'html-deck', 'image-generation', 'ppt', 'presentation', 'skill', 'skills', 'swiss-design', 'web-ppt']"
